assoc_cnpj;assoc_filial;assoc_datmvt;assoc_ass;assoc_desass;assoc_valdev;assoc_valven;assoc_margem;assoc_repres;assoc_metdia;
01141021000190;0000;20240509;HO;HORTIFRUTI                    ;000000000000.00;000000019187.17;0034.51;8717.00;000000000.00;
01141021000190;0000;20240509;HP;HIGIENE PESSOAL               ;000000000000.00;000000008089.78;0033.93;8978.00;000000000.00;
01141021000190;0000;20240509;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000018683.06;0041.18;8306.00;000000000.00;
01141021000190;0000;20240509;LI;LIMPEZA                       ;000000000000.00;000000014561.11;0041.85;6111.00;000000000.00;
01141021000190;0000;20240509;PA;PADARIA                       ;000000000000.00;000000011052.34;0054.82;5234.00;000000000.00;
01141021000190;0000;20240509;RP;RACOES PET                    ;000000000000.00;000000001701.25;0043.93;0125.00;000000000.00;
01141021000190;0000;20240509;VE;VESTUARIO                     ;000000000000.00;000000002292.30;0059.91;9230.00;000000000.00;
01141021000190;0000;20240509;XX;TOTAL DO DIA                  ;000000000000.00;000000211697.06;0039.24;9706.00;000000000.00;
01141021000190;0000;20240510;AC;ACOUGUE                       ;000000000000.00;000000051113.38;0039.91;1338.00;000000000.00;
01141021000190;0000;20240510;AL;ALIMENTOS                     ;000000000000.00;000000030205.42;0045.05;0542.00;000000000.00;
01141021000190;0000;20240510;BA;BAZAR - SUPER                 ;000000000000.00;000000006423.32;0054.38;2332.00;000000000.00;
01141021000190;0000;20240510;BE;BEBIDAS                       ;000000000000.00;000000028925.02;0023.11;2502.00;000000000.00;
01141021000190;0000;20240510;HO;HORTIFRUTI                    ;000000000000.00;000000016629.77;0032.74;2977.00;000000000.00;
01141021000190;0000;20240510;HP;HIGIENE PESSOAL               ;000000000000.00;000000006740.74;0036.52;4074.00;000000000.00;
01141021000190;0000;20240510;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000015263.74;0041.44;6374.00;000000000.00;
01141021000190;0000;20240510;LI;LIMPEZA                       ;000000000000.00;000000010483.40;0045.91;8340.00;000000000.00;
01141021000190;0000;20240510;PA;PADARIA                       ;000000000000.00;000000009434.23;0054.44;3423.00;000000000.00;
01141021000190;0000;20240510;RP;RACOES PET                    ;000000000000.00;000000001320.05;0040.58;2005.00;000000000.00;
01141021000190;0000;20240510;VE;VESTUARIO                     ;000000000000.00;000000000174.86;0059.06;7486.00;000000000.00;
